Name,Net Energy,Handle Penalty,Spacer Structure Fraction,Spacer Net Energy,Handle Fraction,Spacer Penalty,Handle-Spacer Penalty,Duplex Energy,New Net Energy,MS2 in MFE?,Available Seed Bases,Kinetic Handle?,Kinetic MS2?,Kinetic Handle Barrier,Thermo 5 prime bases,Kinetic 5 prime bases,Handle Barrier,Spacer Barrier,Bind Barrier,Kinetic Bind Barrier,Local Fraction (5),Local Fraction (10),MFEpath Convergence,Stringent Convergence,Spacer GC Content,Seed GC Content,Spacer ddG,Bind ddG,Kinetic Bind ddG,tracer duplex net energy,tracer duplex (ROUGH) barrier,tracr duplex handle formed?,tracr duplex ms2 formed?,Spacer-only Barrier,Spacer-only ddG,Fluorescence
PP_4016__31.0,-30.9,0.0,0.6,-30.5,0.9438705060899114,8.5,8.9,-39.4,-30.5,True,4.0,1000,1000,1000.0,1000,3,0.0,11.8,11.8,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.5,8.9,8.9,1000.0,1000.0,1000,1000,1000,7.3,-4.399999999999999,
PP_4016__32.0,-29.2,0.0,0.6,-28.7,0.9792120592371214,10.0,10.5,-39.2,-28.7,True,4.0,1000,1000,1000.0,1000,4,0.0,13.4,13.4,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.5,10.5,10.5,1000.0,1000.0,1000,1000,1000,8.6,-5.699999999999999,
PP_4016__33.0,-30.9,0.0,0.6,-30.2,0.9687258475248687,10.0,10.7,-40.9,-30.2,True,3.0,1000,1000,1000.0,1000,5,0.0,12.8,12.8,1000.0,1000.0,1000.0,1000.0,1000.0,0.65,0.625,10.7,10.7,1000.0,1000.0,1000,1000,1000,9.0,-6.100000000000001,
PP_4016__44.0,-32.7,0.6,0.65,-32.8,0.31486324888961853,5.0,4.9,-37.7,-32.2,True,7.0,1000,1000,1000.0,1000,3,10.6,9.0,10.6,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.5,4.9,5.5,1000.0,1000.0,1000,1000,1000,6.5,-4.300000000000001,
PP_4016__52.0,-31.5,2.8,0.8,-33.6,0.009413289567066677,9.9,7.8,-41.4,-30.8,True,4.0,1000,1000,1000.0,1000,0,14.1,11.2,14.1,1000.0,1000.0,1000.0,1000.0,1000.0,0.65,0.5,7.8,10.6,1000.0,1000.0,1000,1000,1000,10.4,-6.899999999999999,
PP_4016__61.0,-27.3,0.0,0.65,-26.6,0.986518202872602,12.7,13.4,-40.0,-26.6,True,3.0,1000,1000,1000.0,1000,0,0.0,15.2,15.2,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.625,13.4,13.4,1000.0,1000.0,1000,1000,1000,8.0,-5.800000000000001,
PP_4016__62.0,-29.2,0.0,0.65,-28.5,0.9779764360804157,10.8,11.5,-40.0,-28.5,True,4.0,1000,1000,1000.0,1000,0,0.0,13.6,13.6,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.75,11.5,11.5,1000.0,1000.0,1000,1000,1000,7.2,-5.0,
PP_4016__67.0,-28.4,0.0,0.75,-27.9,0.9087126960244086,9.3,9.8,-37.7,-27.9,True,3.0,1000,1000,1000.0,1000,0,0.0,10.9,10.9,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.875,9.8,9.8,1000.0,1000.0,1000,1000,1000,7.9,-4.0,
PP_4016__74.0,-30.8,0.5,0.5,-30.9,0.11987004713014911,3.5,3.4,-34.3,-30.4,True,8.0,1000,1000,1000.0,1000,0,7.9,7.5,8.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.25,3.4,3.9,1000.0,1000.0,1000,1000,1000,4.6,-0.8000000000000007,
PP_4016__75.0,-30.1,0.5,0.5,-29.9,0.5115230499149244,3.2,3.4,-33.3,-29.4,True,7.0,1000,1000,1000.0,1000,1,7.3,7.8,8.5,1000.0,1000.0,1000.0,1000.0,1000.0,0.45,0.25,3.4,3.9,1000.0,1000.0,1000,1000,1000,4.4,-0.6000000000000014,
PP_4016__76.0,-31.6,0.0,0.4,-31.1,0.4565302656861483,3.2,3.7,-34.8,-31.1,True,5.0,1000,1000,1000.0,1000,5,0.0,7.9,7.9,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.375,3.7,3.7,1000.0,1000.0,1000,1000,1000,4.3,-1.0,
PP_4016__95.0,-33.3,1.2,0.65,-33.8,0.22910616083720817,9.6,9.1,-42.9,-32.6,True,1.0,1000,1000,1000.0,1000,1,5.8,14.5,15.7,1000.0,1000.0,1000.0,1000.0,1000.0,0.7,0.5,9.1,10.3,1000.0,1000.0,1000,1000,1000,12.0,-2.8999999999999986,
PP_4016__101.0,-33.8,1.8,0.65,-35.1,0.13690663160308278,7.2,5.9,-41.0,-33.3,True,5.0,1000,1000,1000.0,1000,1,11.7,7.9,13.3,1000.0,1000.0,1000.0,1000.0,1000.0,0.65,0.625,5.9,7.7,1000.0,1000.0,1000,1000,1000,4.2,-1.0,
