Name,Folding Barrier,Handle Barrier,Spacer Barrier,Net Binding Energy,Folding Energy,Binding Energy,Handle Fraction,Net Energy,Handle Penalty,Spacer Structure Fraction,Spacer Net Energy,Spacer Penalty,Handle-Spacer Penalty,MS2 in MFE?,Available Seed Bases,Kinetic Handle?,Kinetic MS2?,Kinetic Handle Barrier,Thermo 5 prime bases,Kinetic 5 prime bases,Kinetic Bind Barrier,Local Fraction (5),Local Fraction (10),MFEpath Convergence,Stringent Convergence,Spacer GC Content,Seed GC Content,Spacer ddG,Kinetic Bind ddG,tracer duplex net energy,tracer duplex (ROUGH) barrier,tracr duplex handle formed?,tracr duplex ms2 formed?,Spacer-only Barrier,Spacer-only ddG,Fluorescence
PP_4016__31.0,11.8,0.0,11.8,-30.5,8.9,-39.4,0.9438705060899114,-30.9,0.0,0.6,-30.5,8.5,8.9,False,4.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.5,8.9,1000.0,1000.0,1000,1000,1000,7.3,-4.399999999999999,
PP_4016__32.0,13.4,0.0,13.4,-28.7,10.5,-39.2,0.9792120592371214,-29.2,0.0,0.6,-28.7,10.0,10.5,False,4.0,1000,1000,1000.0,1000,4,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.5,10.5,1000.0,1000.0,1000,1000,1000,8.6,-5.699999999999999,
PP_4016__33.0,12.8,0.0,12.8,-30.2,10.7,-40.9,0.9687258475248687,-30.9,0.0,0.6,-30.2,10.0,10.7,False,3.0,1000,1000,1000.0,1000,5,1000.0,1000.0,1000.0,1000.0,1000.0,0.65,0.625,10.7,1000.0,1000.0,1000,1000,1000,9.0,-6.100000000000001,
PP_4016__44.0,10.6,10.6,9.0,-32.2,5.5,-37.7,0.31486324888961853,-32.7,0.6,0.65,-32.8,5.0,4.9,False,7.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.5,4.9,1000.0,1000.0,1000,1000,1000,6.5,-4.300000000000001,
PP_4016__52.0,14.1,14.1,11.2,-30.8,10.6,-41.4,0.009413289567066677,-31.5,2.8,0.8,-33.6,9.9,7.8,False,4.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.65,0.5,7.8,1000.0,1000.0,1000,1000,1000,10.4,-6.899999999999999,
PP_4016__61.0,15.2,0.0,15.2,-26.6,13.4,-40.0,0.986518202872602,-27.3,0.0,0.65,-26.6,12.7,13.4,False,3.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.625,13.4,1000.0,1000.0,1000,1000,1000,8.0,-5.800000000000001,
PP_4016__62.0,13.6,0.0,13.6,-28.5,11.5,-40.0,0.9779764360804157,-29.2,0.0,0.65,-28.5,10.8,11.5,False,4.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.75,11.5,1000.0,1000.0,1000,1000,1000,7.2,-5.0,
PP_4016__67.0,10.9,0.0,10.9,-27.9,9.8,-37.7,0.9087126960244086,-28.4,0.0,0.75,-27.9,9.3,9.8,False,3.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.875,9.8,1000.0,1000.0,1000,1000,1000,7.9,-4.0,
PP_4016__74.0,8.0,7.9,7.5,-30.4,3.9,-34.3,0.11987004713014911,-30.8,0.5,0.5,-30.9,3.5,3.4,False,8.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.25,3.4,1000.0,1000.0,1000,1000,1000,4.6,-0.8000000000000007,
PP_4016__75.0,8.5,7.3,7.8,-29.4,3.9,-33.3,0.5115230499149244,-30.1,0.5,0.5,-29.9,3.2,3.4,False,7.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.45,0.25,3.4,1000.0,1000.0,1000,1000,1000,4.4,-0.6000000000000014,
PP_4016__76.0,7.9,0.0,7.9,-31.1,3.7,-34.8,0.4565302656861483,-31.6,0.0,0.4,-31.1,3.2,3.7,False,5.0,1000,1000,1000.0,1000,5,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.375,3.7,1000.0,1000.0,1000,1000,1000,4.3,-1.0,
PP_4016__95.0,15.7,5.8,14.5,-32.6,10.3,-42.9,0.22910616083720817,-33.3,1.2,0.65,-33.8,9.6,9.1,False,1.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.7,0.5,9.1,1000.0,1000.0,1000,1000,1000,12.0,-2.8999999999999986,
PP_4016__101.0,13.3,11.7,7.9,-33.3,7.7,-41.0,0.13690663160308278,-33.8,1.8,0.65,-35.1,7.2,5.9,False,5.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.65,0.625,5.9,1000.0,1000.0,1000,1000,1000,4.2,-1.0,
PP_4016__107.0,10.9,8.7,8.2,-37.0,6.3,-43.3,0.28807222879029315,-37.4,1.2,0.45,-38.2,5.9,5.1,False,5.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.7,0.875,5.1,1000.0,1000.0,1000,1000,1000,14.6,-4.199999999999999,
PP_4016__112.0,8.2,0.0,8.2,-35.7,6.1,-41.8,0.9370048931247563,-36.2,0.0,0.5,-35.7,5.6,6.1,False,4.0,1000,1000,1000.0,1000,5,1000.0,1000.0,1000.0,1000.0,1000.0,0.65,0.5,6.1,1000.0,1000.0,1000,1000,1000,3.2,-0.40000000000000213,
PP_4016__113.0,8.2,0.0,8.2,-37.6,6.0,-43.6,0.9720592924883854,-38.3,0.0,0.5,-37.6,5.3,6.0,False,3.0,1000,1000,1000.0,1000,6,1000.0,1000.0,1000.0,1000.0,1000.0,0.7,0.625,6.0,1000.0,1000.0,1000,1000,1000,4.0,-0.8999999999999986,
PP_4016__140.0,15.3,0.0,15.3,-31.6,13.2,-44.8,0.9840849059136041,-32.3,0.0,0.75,-31.6,12.5,13.2,False,0.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.75,1.0,13.2,1000.0,1000.0,1000,1000,1000,6.1,-2.8000000000000007,
PP_4016__145.0,11.4,0.0,11.4,-33.6,7.3,-40.9,0.451672113096475,-34.0,0.0,0.55,-33.6,6.9,7.3,False,1.0,1000,1000,1000.0,1000,6,1000.0,1000.0,1000.0,1000.0,1000.0,0.65,0.875,7.3,1000.0,1000.0,1000,1000,1000,8.0,-6.399999999999999,
PP_4016__148.0,7.5,0.0,7.5,-31.8,6.8,-38.6,0.408189227867964,-32.5,0.0,0.45,-31.8,6.1,6.8,False,4.0,1000,1000,1000.0,1000,6,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.625,6.8,1000.0,1000.0,1000,1000,1000,6.4,-3.5,
